Date,Account,StockTicker,Cusip,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/21/2026,MLPI,"2AMLP 261016C00056000","2AMLP 261016C00056000","AMLP 10/16/2026 56 C","-55,768",$0.34,"$-1,917,303.84",-0.20%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,"2AMLP 261016C00057000","2AMLP 261016C00057000","AMLP 10/16/2026 57 C","-55,768",$0.15,"$-853,250.40",-0.09%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,AM,03676B102,"Antero Midstream Corp","1,501,060",$21.19,"$31,807,461.40",3.32%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,CQP,16411Q101,"Cheniere Energy Partners LP","504,996",$64.86,"$32,754,040.56",3.42%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,CTRI,155923105,"Centuri Holdings Inc","856,172",$19.35,"$16,566,928.20",1.73%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,DKL,24664T103,"Delek Logistics Partners LP","240,447",$57.71,"$13,876,196.37",1.45%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,DTM,23345M107,"DT Midstream Inc","291,673",$124.98,"$36,453,291.54",3.80%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,"ENB CN",2466149,"Enbridge Inc","1,719,648",$68.14,"$83,649,924.84",8.73%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,EPD,293792107,"Enterprise Products Partners LP","1,133,351",$38.89,"$44,076,020.39",4.60%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,ET,29273V100,"Energy Transfer LP","2,188,141",$21.14,"$46,257,300.74",4.83%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,GEL,371927104,"Genesis Energy LP","861,052",$14.65,"$12,614,411.80",1.32%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,HESM,428103105,"Hess Midstream LP","455,580",$40.16,"$18,296,092.80",1.91%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,KMI,49456B101,"Kinder Morgan Inc","1,935,237",$31.84,"$61,617,946.08",6.43%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,KNTK,02215L209,"Kinetik Holdings Inc","543,206",$53.50,"$29,061,521.00",3.03%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,LNG,16411R208,"Cheniere Energy Inc","188,619",$268.34,"$50,614,022.46",5.28%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,MPLX,55336V100,"MPLX LP","685,584",$59.44,"$40,751,112.96",4.25%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,NEXT,65342K105,"NextDecade Corp","3,055,473",$6.87,"$20,991,099.51",2.19%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,OKE,30609A109,"ONEOK Inc","595,510",$93.46,"$55,656,364.60",5.81%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,PAA,726503105,"Plains All American Pipeline LP","1,094,105",$25.37,"$27,757,443.85",2.90%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,PAGP,72651A207,"Plains GP Holdings LP","702,637",$27.67,"$19,441,965.79",2.03%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,"PPL CN",B4PT2P8,"PEMBINA PIPELINE CORP","901,669",$66.51,"$42,811,254.42",4.47%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,"RGSI CN",BNNSTV5,"Rockpoint Gas Storage Inc","1,133,270",$23.75,"$19,214,136.56",2.00%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,TNK,G8726X106,"Teekay Tankers Ltd","354,622",$100.92,"$35,788,452.24",3.73%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,TRGP,87612G101,"Targa Resources Corp","202,880",$292.19,"$59,279,507.20",6.18%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,"TRP CN",BJMY6G0,"TC Energy Corp","1,074,510",$86.01,"$65,975,589.02",6.88%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,WMB,969457100,"Williams Cos Inc/The","1,267,217",$72.05,"$91,302,984.85",9.53%,"$958,456,540.00","18,100,000","1,810",
09/21/2026,MLPI,Cash&Other,Cash&Other,"Cash & Other","4,594,526",$1.00,"$4,594,525.91",0.48%,"$958,456,540.00","18,100,000","1,810",Y
