NEOS ETF feed: 19 funds in the lineup, 19 selected.
  [ 1/19] SPYI  holdings=508 history=1017
  [ 2/19] QQQI  holdings=104 history=662
  [ 3/19] IWMI  holdings=4 history=561
  [ 4/19] NIHI  holdings=4 history=253
  [ 5/19] XSPI  holdings=509 history=158
  [ 6/19] XQQI  holdings=106 history=158
  [ 7/19] XBCI  holdings=7 history=158
  [ 8/19] BTCI  holdings=8 history=481
  [ 9/19] NEHI  holdings=7 history=199
  [10/19] IYRI  holdings=63 history=421
  [11/19] IAUI  holdings=8 history=324
  [12/19] MLPI  holdings=27 history=188
  [13/19] QQQH  holdings=105 history=1694
  [14/19] SPYH  holdings=489 history=367
  [15/19] NLSI  holdings=67 history=194
  [16/19] HYBI  holdings=10 history=494
  [17/19] BNDI  holdings=9 history=1017
  [18/19] CSHI  holdings=23 history=1017
  [19/19] TLTI  holdings=8 history=443
Done. updated=19 unchanged=0 skipped=0 failed=0 · funds=19 holdings=2066 history=9806
